	ra	dec	mag	x	y	z
64618	3.478704918474675	0.23868688263290708	5.33	-0.91695873995674	-0.3213860140057591	0.2364269426660968
64639	3.4799366845942705	0.7081255957209915	4.72	-0.716518731830704	-0.2521234771254322	0.6504111462897153
64647	3.4802071233618666	0.09546722370276972	4.78	-0.9389208637597977	-0.3306679218935115	0.09532227980478679
64701	3.482987956459069	0.8671155610799591	5.14	-0.609687681822362	-0.21662603378483383	0.7624657973448555
64720	3.483702406988373	-0.3195906601780156	4.74	-0.8943482628633398	-0.318486142364652	-0.3141779143017678
64758	3.4859528345258943	-0.40441917706537633	2.99	-0.8653585883822621	-0.31036138075715264	-0.3934848495781924
64904	3.493266724022839	-0.6407504237134517	2.75	-0.752585454139294	-0.2761407735766026	-0.5977971289546881
64907	3.493409928287966	-0.920623219515778	5.47	-0.5682470591307591	-0.20859692746149772	-0.7959790208559935
65066	3.502145650260047	-1.064448263350262	4.52	-0.45380333040491455	-0.17109857909090936	-0.8745214768926375
65096	3.5038295439223717	-0.3095389250433448	5.36	-0.8906647364431282	-0.3375252426140605	-0.30461949683993084
65173	3.5077837618756904	0.9586284097497777	2.23	-0.536542205814118	-0.20575974083934673	0.8184041730281227
65182	3.5081453068302406	-1.126359891573944	4.52	-0.4013866937903293	-0.15409409365471594	-0.9028531067392966
65263	3.5130058742641195	-1.307038993734275	5.04	-0.2429346186214191	-0.0946169027095198	-0.9654172221360686
65269	3.513317153736212	-0.19480181777527855	0.98	-0.9140801720589324	-0.35635274404857004	-0.1935721076440689
65272	3.513455907411746	0.9597209160483561	3.99	-0.5345332299934484	-0.2084746629960839	0.8190314651595753
65274	3.513496486316855	-1.1254780814226661	5.32	-0.4012995073552361	-0.1565249439623956	-0.9024736269354432
65330	3.517401224185879	-0.6938575116326454	5.11	-0.7151316565212819	-0.28216453413587916	-0.6395075367163469
65375	3.5199778537605986	-0.2217905770371527	5.27	-0.9065002867821381	-0.36037131784795373	-0.2199766881658837
65433	3.5231773040788923	-0.27879152942413077	4.76	-0.892241525771144	-0.35801298025921635	-0.2751940509086178
65515	3.5274422779055277	0.24048520008099192	4.97	-0.8998173911254934	-0.3655159018887061	0.23817386106497243
65522	3.527538096481462	1.0462513558492141	5.4	-0.46398103064991325	-0.18852450970293252	0.8655519120412786
65604	3.5317648475974805	-0.8930000505240964	5.04	-0.5799489882993639	-0.2385076893997848	-0.7789565155178562
65729	3.5388483536331607	-0.6877872564942091	3.9	-0.7124832583526635	-0.2989308881845195	-0.6348290562477319
